Year,DoY,DOsat,Temp,PAR,Zmix,Wind
2012,106.3159722,106.6736667,12.09,366.7878151,1,1.738464053
2012,106.3194444,106.7,12.08263333,383.8800186,1,1.822880107
2012,106.3229167,106.7,12.08,400.9722221,1,1.90729616
2012,106.3263889,106.7,12.08,418.0644255,1,1.991712213
2012,106.3298611,106.7736667,12.07263333,435.156629,1,2.076128267
2012,106.3333333,106.726087,12.08478261,452.2488325,1,2.16054432
2012,106.3368056,106.7737542,12.08262458,432.0361443,1,2.003931307
2012,106.3402778,106.8,12.08,411.8234561,1,1.847318293
2012,106.34375,106.8736667,12.08736667,391.6107679,1,1.69070528
2012,106.3472222,106.8263333,12.08263333,371.3980797,1,1.534092267
2012,106.3506944,106.9473333,12.07263333,351.1853915,1,1.377479253
2012,106.3541667,107,12.07,330.9727033,1,1.22086624
2012,106.3576389,107,12.07,310.7600151,1,1.064253227
2012,106.3611111,107,12.07736667,290.5473269,1,0.907640213
2012,106.3645833,107.1473333,12.08,270.3346387,1,0.7510272
2012,106.3680556,106.9053333,12.08,250.1219504,1,0.594414187
2012,106.3715278,106.8736667,12.07263333,229.9092622,1,0.437801173
2012,106.375,106.9,12.07736667,209.696574,1,0.28118816
2012,106.3784722,106.8263333,12.08,218.7963102,1,0.28118816
2012,106.3819444,106.8,12.08736667,227.8960463,1,0.28118816
2012,106.3854167,106.8,12.09,236.9957824,1,0.28118816
2012,106.3888889,106.8736667,12.09736667,246.0955185,1,0.28118816
2012,106.3923611,106.9,12.10736667,255.1952547,1,0.28118816
2012,106.3958333,106.8263333,12.10263333,264.2949908,1,0.28118816
2012,106.3993056,106.8,12.10736667,273.3947269,1,0.28118816
2012,106.4027778,106.8736667,12.11,282.494463,1,0.28118816
2012,106.40625,106.9736667,12.11736667,291.5941992,1,0.28118816
2012,106.4097222,107,12.11263333,300.6939353,1,0.28118816
2012,106.4131944,107.0736667,12.11736667,309.7936714,1,0.28118816
2012,106.4166667,107.1,12.12,318.8934075,1,0.28118816
2012,106.4201389,107.1,12.12736667,314.7260505,1,0.28230576
2012,106.4236111,107.1,12.13,310.5586935,1,0.28342336
2012,106.4270833,107.1736667,12.12263333,306.3913364,1,0.28454096
2012,106.4305556,107.2,12.12736667,302.2239794,1,0.28565856
2012,106.4340278,107.2,12.13,298.0566224,1,0.28677616
2012,106.4375,107.2,12.13,293.8892653,1,0.28789376
2012,106.4409722,107.2,12.13,289.7219083,1,0.28901136
2012,106.4444444,107.2,12.13,285.5545513,1,0.29012896
2012,106.4479167,107.2736667,12.13,281.3871943,1,0.29124656
2012,106.4513889,107.3,12.13736667,277.2198372,1,0.29236416
2012,106.4548611,107.3,12.14736667,273.0524802,1,0.29348176
2012,106.4583333,107.3,12.14263333,268.8851232,1,0.29459936
2012,106.4618056,107.3,12.14736667,268.744198,1,0.3090164
2012,106.4652778,107.3,12.15,268.6032729,1,0.32343344
2012,106.46875,107.3736667,12.15,268.4623478,1,0.33785048
2012,106.4722222,107.4736667,12.15736667,268.3214227,1,0.35226752
2012,106.4756944,107.573913,12.17478261,268.1804976,1,0.36668456
2012,106.4791667,107.6,12.18737542,268.0395725,1,0.3811016
2012,106.4826389,107.6736667,12.19,267.8986473,1,0.39551864
2012,106.4861111,107.6263333,12.17526667,267.7577222,1,0.40993568
2012,106.4895833,107.6736667,12.17736667,267.6167971,1,0.42435272
2012,106.4930556,107.7,12.18,267.475872,1,0.43876976
2012,106.4965278,107.7736667,12.18736667,267.3349469,1,0.4531868
2012,106.5,107.7263333,12.18263333,267.1940218,1,0.46760384
2012,106.5034722,107.7736667,12.18736667,263.4494401,1,0.4520692
2012,106.5069444,107.8,12.19,259.7048584,1,0.43653456
2012,106.5104167,107.8,12.19,255.9602767,1,0.42099992
2012,106.5138889,107.8,12.19,252.215695,1,0.40546528
2012,106.5173611,107.9473333,12.2121,248.4711134,1,0.38993064
2012,106.5208333,108.0736667,12.22736667,244.7265317,1,0.374396
2012,106.5243056,108.1,12.23,240.98195,1,0.35886136
2012,106.5277778,108.1736667,12.23736667,237.2373683,1,0.34332672
2012,106.53125,108.2,12.24,233.4927866,1,0.32779208
2012,106.5347222,108.1263333,12.24,229.748205,1,0.31225744
2012,106.5381944,108.1736667,12.24736667,226.0036233,1,0.2967228
2012,106.5416667,108.1263333,12.23526667,222.2590416,1,0.28118816
2012,106.5451389,108.2478261,12.25217391,216.6240501,1,0.326711733
2012,106.5486111,108.3,12.26,210.9890587,1,0.372235307
2012,106.5520833,108.3736667,12.26,205.3540672,1,0.41775888
2012,106.5555556,108.3263333,12.26,199.7190758,1,0.463282453
2012,106.5590278,108.4473333,12.26,194.0840843,1,0.508806027
2012,106.5625,108.4263333,12.26,188.4490928,1,0.5543296
