DateTime	uSt(mm/s)	wSt(mm/s)	k(w,u)600(m/day)	k(w)_600(m/day)
2011-08-28 06:00	1.3827	6.9773	0.60698	0.47429
2011-08-28 12:00	2.6036	0	1.0126	0
2011-08-28 18:00	2.0815	7.5334	0.84425	0.52169
2011-08-29 00:00	1.2952	8.998	0.64618	0.57427
2011-08-29 06:00	1.3117	6.8	0.58366	0.46572
2011-08-29 12:00	6.8188	0	2.4461	0
2011-08-29 18:00	2.5258	7.9063	1.0017	0.52116
2011-08-30 00:00	1.7269	8.3662	0.73642	0.54391
2011-08-30 06:00	2.5249	6.6411	0.99379	0.45703
2011-08-30 12:00	4.4618	0	1.7	0
2011-08-30 18:00	2.0088	7.1763	0.8148	0.5028
2011-08-31 00:00	2.9918	8.2302	1.1736	0.5369
2011-08-31 06:00	5.5487	9.0677	2.0707	0.57814
2011-08-31 12:00	3.6472	5.2348	1.4079	0.38318
2011-08-31 18:00	1.4339	6.1008	0.60348	0.43001
2011-09-01 00:00	1.6251	5.8681	0.6625	0.41774
2011-09-01 06:00	2.9575	5.5393	1.1518	0.39948
2011-09-01 12:00	3.8896	0	1.4948	0
2011-09-01 18:00	1.0139	3.1675	0.4345	0.32366
2011-09-02 00:00	1.8305	4.2147	0.7315	0.40109
2011-09-02 06:00	3.9391	0	1.5127	0
2011-09-02 12:00	3.033	0	1.176	0
2011-09-02 18:00	2.2174	6.2796	0.8879	0.5029
2011-09-03 00:00	1.9519	6.8196	0.7963	0.50662
2011-09-03 06:00	3.1779	6.6877	1.2377	0.47748
2011-09-03 12:00	3.0988	0	1.201	0
2011-09-03 18:00	3.2973	7.196	1.2824	0.486
2011-09-04 00:00	5.1483	10.68	1.9429	0.65453
2011-09-04 06:00	5.3746	9.5046	2.016	0.6005
2011-09-04 12:00	6.9398	5.9211	2.4828	0.40769
2011-09-04 18:00	3.3185	10.614	1.3024	0.63202
2011-09-05 12:00	3.0631	0	1.1878	0
2011-09-05 18:00	1.5241	9.8506	0.71035	0.59935
2011-09-06 00:00	1.6907	9.8809	0.75245	0.60127
2011-09-06 06:00	1.842	7.7185	0.75754	0.49946
2011-09-06 12:00	2.1922	0	0.8545	0
2011-09-06 18:00	1.3673	8.8063	0.65724	0.56947
2011-09-07 00:00	1.5388	9.566	0.70627	0.58651
2011-09-07 06:00	1.2754	8.1467	0.60583	0.51982
2011-09-07 12:00	2.4114	0	0.939	0
2011-09-07 18:00	1.142	7.0838	0.58356	0.52558
2011-09-08 00:00	1.4019	8.3066	0.6497	0.54499
2011-09-08 06:00	0.86686	6.5119	0.48586	0.45415
2011-09-08 12:00	3.9574	0	1.5203	0
2011-09-08 18:00	1.7294	7.8278	0.72838	0.52102
2011-09-09 00:00	1.7496	8.6534	0.74314	0.54365
2011-09-09 06:00	1.0847	5.5248	0.51139	0.43589
2011-09-09 12:00	1.2029	0	0.47006	0
2011-09-09 18:00	2.0591	4.5251	0.82582	0.47117
2011-09-10 00:00	1.3484	8.4476	0.64147	0.55121
2011-09-10 06:00	1.278	6.5924	0.58008	0.47534
2011-09-10 12:00	2.2307	0	0.86933	0
2011-09-10 18:00	0.91148	4.9291	0.5309	0.50165
2011-09-11 00:00	1.0009	6.4049	0.55238	0.51379
2011-09-11 06:00	1.6111	6.5004	0.6732	0.46985
2011-09-11 12:00	6.4845	0	2.3549	0
2011-09-11 18:00	1.1404	6.1972	0.54768	0.4741
2011-09-12 00:00	1.1547	7.2054	0.57298	0.50746
2011-09-12 06:00	2.0102	6.4019	0.80717	0.4644
2011-09-12 12:00	7.0655	0	2.5157	0
2011-09-12 18:00	5.3686	6.4121	2.0116	0.44746
2011-09-13 00:00	6.4427	10.108	2.347	0.63038
2011-09-13 06:00	5.5633	11.005	2.0794	0.65035
2011-09-13 12:00	5.2661	0	1.9775	0
2011-09-13 18:00	4.8569	10.861	1.8464	0.64512
2011-09-14 00:00	7.3709	12.153	2.6045	0.7033
2011-09-14 06:00	6.776	12.466	2.4478	0.7181
2011-09-14 12:00	7.9349	8.4455	2.7427	0.5215
2011-09-14 18:00	5.6026	12.364	2.0968	0.69516
2011-09-15 00:00	4.6145	12.161	1.7672	0.68782
2011-09-15 06:00	4.9941	11.243	1.8954	0.64915
2011-09-15 12:00	4.6587	0	1.7728	0
2011-09-15 18:00	1.8599	10.575	0.80806	0.62095
2011-09-16 00:00	1.9851	10.624	0.84564	0.62393
2011-09-16 06:00	1.9041	8.6516	0.78864	0.53508
2011-09-16 12:00	4.5455	0	1.7334	0
2011-09-16 18:00	1.7971	9.9037	0.77748	0.59242
2011-09-17 00:00	2.0875	10.293	0.87204	0.61051
