DateTime	uSt(mm/s)	wSt(mm/s)	k(w,u)600(m/day)	k(w)_600(m/day)
2011-05-28 06:00	3.8235	5.2121	1.4783	0.45994
2011-05-28 12:00	7.3605	0	2.6311	0
2011-05-28 18:00	3.6222	4.3767	1.4022	0.40241
2011-05-29 00:00	3.5421	5.5605	1.375	0.48125
2011-05-29 06:00	3.6297	2.2838	1.4029	0.24682
2011-05-29 12:00	1.488	0	0.5813	0
2011-05-29 18:00	0.43426	0	0.16978	0
2011-05-30 00:00	2.6799	3.7186	1.0463	0.35549
2011-05-30 06:00	6.2437	3.8208	2.3054	0.36271
2011-05-30 12:00	7.8096	0	2.7439	0
2011-05-30 18:00	6.3123	0	2.3256	0
2011-05-31 00:00	4.2119	0	1.6166	0
2011-05-31 06:00	4.9622	0	1.8827	0
2011-05-31 12:00	7.6139	0	2.6899	0
2011-05-31 18:00	10.509	5.2243	3.2609	0.45703
2011-06-01 00:00	11.03	6.9186	3.3353	0.5657
2011-06-01 06:00	10.617	5.9663	3.2875	0.47981
2011-06-01 12:00	10.397	0	3.2561	0
2011-06-01 18:00	5.7621	5.8874	2.1539	0.47479
2011-06-02 00:00	1.5452	7.0401	0.6845	0.54281
2011-06-02 06:00	5.4629	5.5345	2.055	0.45281
2011-06-02 12:00	5.8994	0	2.196	0
2011-06-02 18:00	4.6802	4.0843	1.7852	0.38038
2011-06-03 00:00	5.0752	6.4716	1.9243	0.5081
2011-06-03 06:00	5.6009	2.8159	2.0986	0.28752
2011-06-03 12:00	5.7862	0	2.1577	0
2011-06-03 18:00	0.8309	0	0.32482	0
2011-06-04 00:00	0.37747	2.4882	0.28469	0.27941
2011-06-04 06:00	2.8054	0	1.0905	0
2011-06-04 12:00	6.7927	0	2.4581	0
2011-06-04 18:00	3.461	3.5603	1.3402	0.36307
2011-06-05 00:00	0.97774	5.4835	0.54002	0.50242
2011-06-05 06:00	2.6192	2.6874	1.0208	0.29352
2011-06-05 12:00	2.5822	0	1.0048	0
2011-06-05 18:00	2.6747	3.4506	1.0452	0.38887
2011-06-06 00:00	1.5931	5.3824	0.69758	0.54302
2011-06-06 06:00	2.01	0	0.78408	0
2011-06-06 12:00	3.5585	0	1.3739	0
2011-06-06 18:00	0.79229	0	0.30972	0
2011-06-07 00:00	1.4197	3.837	0.59465	0.41762
2011-06-07 06:00	3.4374	0	1.3284	0
2011-06-07 12:00	4.176	0	1.5988	0
2011-06-07 18:00	3.1614	0	1.2246	0
2011-06-08 00:00	6.6951	4.3206	2.413	0.45336
2011-06-08 06:00	4.7276	0	1.7932	0
2011-06-08 12:00	9.3991	0	3.0077	0
2011-06-08 18:00	5.9676	7.4236	2.203	0.6156
2011-06-09 00:00	7.1402	8.902	2.5409	0.70836
2011-06-09 06:00	5.8785	8.2091	2.1804	0.66876
2011-06-09 12:00	7.364	0	2.5997	0
2011-06-09 18:00	4.6638	7.757	1.7791	0.59854
2011-06-10 00:00	3.9707	8.5277	1.538	0.64438
2011-06-10 06:00	2.6283	7.1144	1.0453	0.56386
2011-06-10 12:00	5.4849	5.9475	2.0553	0.49392
2011-06-10 18:00	4.4197	6.8946	1.6936	0.55279
2011-06-11 00:00	4.9904	7.4642	1.8931	0.58766
2011-06-11 06:00	4.1935	6.3255	1.6122	0.51907
2011-06-11 12:00	6.0793	0	2.2443	0
2011-06-11 18:00	3.7167	6.8507	1.4411	0.55087
2011-06-12 00:00	1.3473	7.9393	0.66178	0.58234
2011-06-12 06:00	1.8027	3.6897	0.71376	0.34606
2011-06-12 12:00	3.9644	0	1.5241	0
2011-06-12 18:00	1.0546	3.8078	0.49445	0.41928
2011-06-13 00:00	1.6831	6.7922	0.74237	0.58512
2011-06-13 06:00	1.8057	1.713	0.70618	0.20834
2011-06-13 12:00	6.0349	0	2.2276	0
2011-06-13 18:00	3.101	4.7435	1.2081	0.44616
2011-06-14 00:00	1.5943	7.2802	0.71273	0.57293
2011-06-14 06:00	4.3607	4.9926	1.6689	0.43181
2011-06-14 12:00	7.8145	0	2.7161	0
2011-06-14 18:00	5.649	6.417	2.1075	0.5208
2011-06-15 00:00	2.8766	7.174	1.1354	0.56693
2011-06-15 06:00	6.0967	6.0964	2.2483	0.47496
2011-06-15 12:00	7.5248	5.3832	2.6484	0.43298
2011-06-15 18:00	3.9573	6.366	1.5257	0.49138
2011-06-16 00:00	1.58	5.6977	0.65753	0.45247
2011-06-16 06:00	2.0877	0	0.81422	0
2011-06-16 12:00	1.7224	0	0.67248	0
2011-06-16 18:00	2.1189	4.5718	0.83566	0.38314
2011-06-17 00:00	1.3948	5.653	0.59916	0.44914
2011-06-17 06:00	2.3412	0	0.9121	0
2011-06-17 12:00	1.8274	0	0.71323	0
2011-06-17 18:00	2.5665	2.8635	1.0008	0.30475
2011-06-18 00:00	1.864	5.4491	0.76339	0.49406
2011-06-18 06:00	2.337	4.7424	0.92321	0.44532
2011-06-18 12:00	4.6405	0	1.7656	0
2011-06-18 18:00	2.6636	3.9711	1.0398	0.36281
2011-06-19 00:00	2.9897	5.6752	1.1683	0.47477
2011-06-19 06:00	2.9353	5.1064	1.1447	0.41525
2011-06-19 12:00	4.4374	0	1.6944	0
2011-06-19 18:00	3.5356	5.9731	1.3705	0.46786
2011-06-20 00:00	2.4943	6.2982	0.98614	0.48732
2011-06-20 06:00	2.5979	5.0305	1.0177	0.41182
2011-06-20 12:00	3.807	0	1.4664	0
2011-06-20 18:00	3.0379	3.6028	1.1803	0.32054
2011-06-21 00:00	3.8602	6.6745	1.4911	0.50942
2011-06-21 06:00	2.9502	5.5191	1.1518	0.4421
2011-06-21 12:00	5.4098	4.8909	2.0303	0.40409
2011-06-21 18:00	7.2695	3.9419	2.5855	0.34394
2011-06-22 00:00	8.1203	5.5229	2.7958	0.44321
2011-06-22 06:00	3.9622	4.3212	1.525	0.36881
2011-06-22 12:00	3.7275	0	1.4374	0
2011-06-22 18:00	2.6688	2.8871	1.0393	0.27257
2011-06-23 00:00	3.0493	5.9394	1.1904	0.4685
2011-06-23 06:00	3.7415	5.7809	1.4463	0.45938
2011-06-23 12:00	3.7631	0	1.4507	0
2011-06-23 18:00	4.9628	7.3645	1.8828	0.52711
2011-06-24 00:00	3.4432	6.7938	1.3382	0.49661
2011-06-24 06:00	3.8158	4.9697	1.4721	0.39269
2011-06-24 12:00	5.6248	0	2.1013	0
2011-06-24 18:00	1.4092	2.8529	0.55711	0.25858
2011-06-25 00:00	1.1492	7.1985	0.57907	0.51758
2011-06-25 06:00	1	0	0.39086	0
2011-06-25 12:00	1.0395	0	0.4063	0
2011-06-25 18:00	0.335	2.9129	0.34356	0.34171
2011-06-26 00:00	1.4813	5.1689	0.65904	0.52598
2011-06-26 06:00	1.5409	0	0.60182	0
2011-06-26 12:00	6.2815	0	2.3006	0
2011-06-26 18:00	2.7357	3.1685	1.0671	0.36343
2011-06-27 00:00	3.5308	5.7377	1.3704	0.51317
2011-06-27 06:00	4.6272	3.9196	1.7619	0.3859
2011-06-27 12:00	5.5788	0	2.0822	0
2011-06-27 18:00	6.9393	5.217	2.4914	0.47875
2011-06-28 00:00	8.5337	7.4903	2.8786	0.58548
2011-06-28 06:00	7.1384	6.5265	2.5471	0.52805
2011-06-28 12:00	5.4359	0	2.0363	0
2011-06-28 18:00	3.1407	4.9168	1.222	0.42626
2011-06-29 00:00	1.4338	6.4215	0.64414	0.52109
2011-06-29 06:00	2.5213	2.6522	0.98273	0.26798
2011-06-29 12:00	2.9407	0	1.1416	0
2011-06-29 18:00	2.3961	2.7013	0.93641	0.3216
2011-06-30 00:00	3.1934	4.776	1.2449	0.49327
2011-06-30 06:00	4.4744	3.727	1.7071	0.36979
2011-06-30 12:00	5.7786	0	2.1433	0
2011-06-30 18:00	4.6796	0	1.7775	0
2011-07-01 00:00	5.3349	2.9132	1.9996	0.30605
2011-07-01 06:00	2.7969	0	1.0866	0
2011-07-01 12:00	2.3084	0	0.8993	0
2011-07-01 18:00	0.70458	0	0.27545	0
2011-07-02 00:00	2.6544	3.8729	1.0391	0.41842
2011-07-02 06:00	3.4015	0	1.3147	0
2011-07-02 12:00	5.9612	0	2.1973	0
2011-07-02 18:00	5.7724	5.3718	2.1404	0.53371
2011-07-03 00:00	1.26	5.8781	0.6371	0.5706
2011-07-03 06:00	1.7903	3.6323	0.71638	0.39744
2011-07-03 12:00	4.481	0	1.7067	0
2011-07-03 18:00	2.6048	4.3824	1.0234	0.45689
2011-07-04 00:00	1.3835	5.7062	0.65249	0.55654
2011-07-04 06:00	2.0755	0	0.80928	0
2011-07-04 12:00	5.1762	0	1.944	0
2011-07-04 18:00	3.7051	3.7081	1.4283	0.36322
2011-07-05 00:00	1.4602	5.6237	0.63866	0.49608
2011-07-05 06:00	3.4325	3.5777	1.3275	0.35314
2011-07-05 12:00	3.8162	0	1.4673	0
2011-07-05 18:00	2.9631	0	1.1494	0
2011-07-06 00:00	1.0708	6.3251	0.58342	0.54024
2011-07-06 06:00	1.7353	4.6893	0.70351	0.4308
2011-07-06 12:00	1.9917	0	0.77678	0
2011-07-06 18:00	2.3443	4.7144	0.92945	0.47707
2011-07-07 00:00	1.7751	6.9017	0.76315	0.5743
2011-07-07 06:00	2.569	4.7794	1.0081	0.43642
2011-07-07 12:00	1.6415	0	0.64092	0
2011-07-07 18:00	1.906	4.5333	0.76174	0.41942
2011-07-08 00:00	2.4668	6.5817	0.98575	0.55502
2011-07-08 06:00	4.1104	4.9665	1.5759	0.44885
2011-07-08 12:00	3.6825	0	1.4177	0
2011-07-08 18:00	2.9844	5.7156	1.167	0.49786
2011-07-09 00:00	3.9322	8.0557	1.5185	0.6005
2011-07-09 06:00	4.9024	6.5702	1.8532	0.5161
2011-07-09 12:00	4.6241	0	1.755	0
2011-07-09 18:00	3.5673	3.3621	1.3765	0.31241
2011-07-10 00:00	2.9913	6.0199	1.1687	0.48389
2011-07-10 06:00	3.1348	0	1.2141	0
2011-07-10 12:00	6.2384	0	2.2726	0
2011-07-10 18:00	1.6859	0	0.65813	0
2011-07-11 00:00	1.6557	4.3573	0.67018	0.40586
2011-07-11 06:00	3.9078	4.3897	1.5019	0.40783
2011-07-11 12:00	4.4047	0	1.6772	0
2011-07-11 18:00	4.4674	5.9749	1.7027	0.51324
2011-07-12 00:00	3.4395	8.3958	1.3431	0.61738
2011-07-12 06:00	4.2167	7.2002	1.6166	0.55104
2011-07-12 12:00	4.2983	0	1.6403	0
2011-07-12 18:00	4.5056	8.2124	1.7203	0.6096
2011-07-13 00:00	3.4037	8.729	1.3329	0.63955
2011-07-13 06:00	4.0655	8.6931	1.5664	0.60365
2011-07-13 12:00	3.3096	0	1.2798	0
2011-07-13 18:00	2.1878	7.6988	0.88781	0.55176
2011-07-14 00:00	2.6024	8.5679	1.0417	0.59878
2011-07-14 06:00	2.5599	7.7719	1.0194	0.55723
2011-07-14 12:00	3.85	0	1.4801	0
2011-07-14 18:00	3.1355	5.903	1.2206	0.45401
2011-07-15 00:00	3.8849	6.9161	1.4981	0.51175
2011-07-15 06:00	3.613	6.3692	1.398	0.48132
2011-07-15 12:00	3.2375	1.2631	1.2532	0.14305
2011-07-15 18:00	2.9613	0	1.149	0
2011-07-16 00:00	2.692	5.8756	1.0555	0.45326
2011-07-16 06:00	3.8303	0	1.4729	0
